idHandschrift,CensusCat,Bibliothek,Signatur,Art,Herkunft,Datierung,Inhalt,DIAMM_Online,Verloren,Notizen,genutzt
2070,WeimB B,10028,B,7003,6102,8296,"2 Masses, 1 Kyrie-Gloria pair, 3 Kyries, 1 Gloria, 13 Mass Proper sections, 3 Magnificats, 1 Te Deum, 1 canticle, 4 office hymns, 1 processional hymn, 3 Passions (2 in German; 2 incomplete), 21 motets, 1 set of responses, 3 Latin/German sacred pieces, 17 German sacred pieces = 75",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2679,0,"Copied in Torgau, perhaps for use at Wittenberg Schlosskirche (GerhW). Taken from Wittenberg to Weimar by Johann Friedrich I, deposed Elector of Saxony, in 1548. Transferred to ccccc ca. 1923, but subsequently returned to Weimar.",1
2071,ZwiR 119/1,10029,119.1,7005,6111,8409,"Liturgical book, with polyphony: 1 Mass (incomplete), 6 Credos, 3 Sanctus-Agnus pairs, 1 motet = 11",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2018,0,"Copied in Zwickau. Owned by Stephan Roth (1492-1546), rector of Latin school at Zwickau 1517-20, city scribe of Zwickau 1526-46. Bequeathed by Roth to Zwickau Ratsschulbibliothek in 1546.",1
2072,ZwiR 78/3,10029,78.3,7004,6112,8391,"1 Mass Ordinary section (without text), 2 motets (without text), 13 French secular pieces (without text), 3 Italian secular pieces (2 without text; 1 with text incipit ""Fortuna""), 1 Dutch secular piece (without text), 1 German secular piece (without text), 5 textless pieces = 26",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2770,0,"Probably copied in Zwickau. Owned by Stephan Roth (1492-1546), rector of Latin school at Zwickau 1517-20, city scribe of Zwickau 1526-46. Bequeathed by Roth to Zwickau Ratsschulbibliothek in 1546.",1
2073,BarcOC 5,10031,5,7003,6034,8229,"6 mass settings, 1 kyrie-gloria pairing, 1 kyrie, 1 sanctus, 1 gloria, 8 motets, 4 un-texted pieces.",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1537,0,Urchuigia 2011,1
2074,ToleBC 19,10033,19,7005,6101,8299,5 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2556,0,Urchueguía: Die mehrstimmige Messe,1
2075,ToleBC 27,10033,27,7005,6101,,"5 Masses, 1 Kyrie, 1 Agnus",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2562,0,Urchueguía: Die mehrstimmige Messe,1
2076,ToleBC 16,10033,16,7005,6101,8297,"5 Masses, 1 Et incarnatus",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2553,0,Urchueguía: Die mehrstimmige Messe,1
2077,ToleF 23,10033,Reservado 23,7003,6066,8385,"6 Masses, 1 Requiem Mass, 8 Magnificats, 1 Passion, 16 motets = 32",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1183,0,Probably copied in Low Countries; original recipient not yet determined.,1
2078,ToleBC 9,10033,9,7003,6101,8305,"5 Masses, 1 Antiphon",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2549,0,Urchueguía: Die mehrstimmige Messe,1
2079,CambraiBM 125-8,10034,125-8,7004,6015,8298,"13 Masses, 2 Mass fragments, 64 motets, 125 French secular pieces, 9 Flemish secular pieces, 3 Italian secular pieces, 12 textless pieces (1 is monophonic) = 228 + 1 duplicate = 229",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1669,0,"Besitzer, lt. Titelseite, Zeghere van Male (1504-1601), Tuchhändler",1
2080,CambraiBM 4,10034,4,7003,6018,8387,"18 Masses, 2 motets = 20",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1664,0,Kopiert in der Kathedrale Cambrai,1
2081,CambraiBM 18,10034,18,7003,6018,8382,"17 Masses, 2 Credos, 1 Te Deum, 2 motets (1 fragmentary) = 22",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1668,0,Kopiert in der Kathedrale Cambrai,1
2082,ParisBNC 676,10035,Ms. Rés. Vm/7 676,7004,6057,8245,"3 Magnificats, 1 canticle, 2 hymns, 7 motets or laude, 1 litany, 1 Benedicamus domino, 87 Italian secular pieces (a few are laude), 1 Latin secular piece, 2 Latin/Italian secular pieces, 6 French secular pieces, 1 Spanish secular piece, 2 textless pieces = 114",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2377,0,"Copied in Mantua, for court of Isabella d´Esté, or in Ferrara, for court of Èrcole I d´Este, Duke of Ferrara (BridgmM). Purchased by Bibliothèque Nationale from Paris bookselling firm of Arthur Rau, in 1935; previous ownership not traced.",1
2083,ParisBNC 851,10035,Ms. Rés. Vma. 851,7004,6076,8416,"23 Masses, 2 Kyries, 1 Mass Proper section, 1 Magnificat, 22 hymns, 166 motets, 163 Italian secular pieces, 57 French secular pieces, 1 Latin secular piece, 31 instrumental pieces, 2 textless pieces = 469",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2378,0,Late 16th century. Probably copied in Parma or Ravenna (BridgmAH). Owned in 19th century by the French pianist and composer Clarisse Bourdeney (1849-96). Purchased by Bibliothèque Nationale from Bourdeney´s heirs in 1954.,1
2084,LonBL 31922,10037,Add. 31922,7004,6051,8369,"1 motet, 1 motet-chanson, 1 English/Latin carol, 53 English secular pieces, 12 French secular pieces, 3 French/English secular pieces, 3 Dutch secular pieces (some of preceding have text incipits or titles only), 35 textless pieces (several have concordances with French or Latin texts, but most are unique to this source; probably intended for instrumental performance) = 109",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1238,0,"Probably copied in London, as an anthology of repertory of court of King Henry VIII.",1
2085,LonBL 4911,10037,Add. 4911,7006,6087,8406,"Anonymous treatise, ""The Art of Music collecit out of All Ancient Doctouris of Music,"" with polyphonic examples: 6 Mass Ordinary sections, 16 Magnificat sections, 1 Te Deum, 7 office hymns, 1 processional hymn, 4 motets, 193 textless pieces or fragments (of which the following have been identified from concordant sources: 15 Mass Ordinary sections, 1 Mass Proper section, 1 psalm, 2 office hymns, 3 motets, 1 litany, 5 English sacred and secular pieces, 1 French secular piece) = 228",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1870,0,"&nbsp;most likely prepared for use in a song school for boys (MaynAS, who disputes earlier assertions that treatise was prepared for university students at Edinburgh or St. Andrews). Earliest known owner was Sir Francis Kinaston (1587-1642), of Oteley, Shropshire. Later owned by Sir John Hawkins (1719-89), who referred to it, with some inaccuracies, in his General History … (1776), and donated it to British Museum in 1778.",1
2086,BudOS 24,10038,Bártfa 24,7003,6006,8414,"6 Masses, 14 Kyrie-Gloria pairs, 4 Kyries, 1 German Credo, 13 Mass Proper cycles, 10 Mass Proper sections, 1 German Te Deum, 3 psalms, 2 hymns, 13 motets, 1 set of responses, 1 German sacred piece, 1 German/Latin sacred piece = 70",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1655,0,Aus der Kirche St. Aegidi in Bartfa,1
2087,BudOS P6,10038,Bártfa Pr 6,7003,6006,8421,"1 Mass, 1 Kyrie-Gloria pair, 2 Mass Proper cycles, 5 Magnificats, 1 German Te Deum, 1 psalm, 54 hymns (3 are textless in this source), 5 responses, 15 motets, 5 Latin/German sacred pieces, 3 German sacred pieces (1 monophonic), 1 textless piece, 1 textless fragment = 95 (some are duplicates)",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2828,0,Aus der Kirche St. Aegidi in Bartfa,1
2088,BudOS 20,10038,Bártfa 20,7003,6006,,"15 Masses, 2 Kyrie-Gloria pairs, 2 Kyries, 1 German Credo, 1 Sanctus, 24 Mass Proper cycles, 10 Mass Proper sections, 1 Passion, 3 motets, 1 set of responses, 1 German sacred piece, 1 Latin/Czech piece = 62",,0,Aus der Kirche St. Aegidi in Bartfa,1
2089,HeilbS X/2,10016,MS X/2,7004,6029,8411,"29 pieces with Latin, French, German, and Italian text incipits or titles, 2 textless pieces = 31",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1808,0,"Watermarks suggest that the manuscript was copied in the early 1550vs (StaeED), probably from RISM [c.1535]/14. Copied at Frankfurt am Main(?); both the paper (according to the watermarks) and the print originated there.",1
2090,BolC Q19,10039,Q 19,7004,6069,8378,"4 Masses, 1 Kyrie-Gloria pair, 1 Kyrie, 1 Gloria, 3 Magnificats, 77 motets (1 incomplete), 2 motet-chansons, 8 French secular pieces, 1 canon with macaronic text = 98",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1390,0,"(inscription on f. 1v: ""1518 adi. 10. de zugno""). Copied in northern Italy (PerkR), possibly in Cento, or Bologna (CrawF)",1
2091,BolC Q25,10039,Q25,7003,6041,8282,"15 Masses, 1 Requiem Mass, I motet = 17",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1610,0,,1
2092,BolSP 38,10040,A.38,7003,6013,8386,"5 Masses (2 incomplete), 1 Gloria-Credo pair (incomplete), 1 Gloria (in-complete), 4 Credos (1 incomplete), 5 psalms, 10 motets (1 incomplete) = 26* (*Pieces listed in original index, but now missing: 7 Masses, 2 Kyries, 2 Glorias, 1 Credo, 1 Sanctus.)",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=235,0,"Copied in Bologna, for use at Church of San Petronio.",1
2093,BolSP 31,10040,A.XXXI,7003,6013,8388,"7 Masses (1 incomplete), 3 Credos, 2 Sanctus-Agnus pairs (1 incomplete), 1 Magnificat, 2 motets = 15",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=234,0,"Copied in Bologna, for use at Church of San Petronio.",1
2094,MilA 46,10044,E.46 Inf.,7005,6046,8418,9 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1428,0,"Inscription on first original flyleaf: ""pagato a my paulo da lucca scudi 3 et mez(z)o et lo ha pagato il Sr. pietro marya(?) pane q(ues)to di 5 decemre 1596.""",1
2095,MilD 3,10045,2267 (3),7003,6056,8357,,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2087,0,"Copied in Milan, for use by the cathedral choir; prepared under direction of Franchino Gafori, maestro di cappella from 1484 until his death in 1522.",1
2096,MilD 2,10045,2268 (2),7003,6056,8349,,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2088,0,"Copied in Milan, for use by the cathedral choir; prepared under direction of Franchino Gafori, maestro di cappella from 1484 until his death in 1522.",1
2097,ModD 4,10047,Mus. IV,7004,6061,8384,"8 Masses, 4 Credos, 2 Agnus, 11 Magnificats, 1 Magnificat fragment, 8 hymns, 8 motets, 2 French secular pieces, 2 textless canons = 46 (many incomplete)",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1435,0,"Probably copied in Modena, for use by the cathedral choir.",1
2098,ModE M.1.2,10048,alpha M.1.2,7005,6024,8365,"10 Masses, 1 Agnus = 11",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=964,0,"Copied in Ferrara, for use at the ducal court of Alfonso I d´Este (1476-1534). Este family library transferred from Ferrara to Modena in 1598; joined to Modena university library in 1892.",1
2099,ModE N.1.2,10048,alpha N.1.2,7003,6024,8285,"9 Masses, 1 Requiem Mass, 2 Credos, 12 motets, 1 set of responses",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=967,0,"Copied in Ferrara, for use at the ducal court of Ercole II d´Este (1508-59). Este family library transferred from Ferrara to Modena in 1598; joined to Modena university library in 1892.",1
2101,VatS 160,10052,Capp.Sist. 160,7009,6016,8268,"7 Masses (5 incomplete), 2 Kyries, 1 Credo = 10",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1482,0,Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ). Sent as gift to Pope Leo X (1475-1521).,1
2102,VatSP B80,10052,San Pietro B80,7003,6081,8220,"16 Masses (2 incomplete), 14 Magnificats (1 incomplete), 1 Te Deum, 27 hymns, 28 motets = 86 + 1 duplicate = 87",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=806,0,"Copied in Rome, for use at St. Peter´s Basilica. Main corpus probably copied from two earlier (ca. 1458-63) manuscripts which were subsequently discarded (ReynoldsSP).",1
2103,VatP 1982,10052,Pal. lat. 1982,7004,6081,8373,"18 Masses, 1 motet, 1 French secular piece = 20",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1492,0,"&nbsp;Copied in Rome. Compiled for Giulio de´ Medici (1478-1534; Pope Clement VII after 1523) or for other member of Medici family. Acquired, perhaps ca. 1553-63, by Ulrich Fugger (1526-84), of Augsburg (possibly through Ulrich´s book collector, Henricus Scrimger); later incorporated in Palatine electoral library in Heidelberg.",1
2104,VatP 1980-1,10052,Pal. lat. 1980-81,7004,6081,8380,"8 Masses, 9 motets, 4 French secular pieces = 21",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1491,0,"Copied in Rome. Probably compiled for Giulio de´ Medici (1478-1534; Pope Clement VII after 1523). Acquired, perhaps ca. 1553-63, by Ulrich Fugger (1526-84), of Augsburg (possibly through Ulrich´s book collector, Henricus Scrimger); later incorporated in Palatine electoral library in Heidelberg.",1
2105,VatS 45,10052,Capp.Sist. 45,7003,6081,8371,"10 Masses, 2 Credos, 4 motets = 16",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1476,0,"Copied in Rome, for use by Cappella Sistina.",1
2106,VatG XIII.27,10052,C.G. XIII 27,7004,6026,8232,"1 Mass Ordinary section, 2 motets, 2 motet-chansons, 83 French secular pieces, 10 Italian secular pieces, 9 Spanish secular pieces, 2 Dutch secular pieces = 109",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=944,0,"Copied in Florence. Compiled for Giuliano de´ Medici, Duke of Nemours (1479-1516), youngest son of Lorenzo de´ Medici (AtlCG). Giuliano probably took or sent manuscript to Rome ca. 1513; after Giuliano´s death, manuscript may have passed to his brother, Pope Leo X. Later in library of Giuseppe Ottavio Pitoni (1657-1743), director of Cappella Giulia from 1719; placed in Archivio della Cappella Giulia following Pitoni´s death. Transferred to present library in 1942.",1
2107,VatSM 26,10052,S. Maria Maggiore 26 (JJ.III.4),7003,6081,8376,"16 Masses, 2 Credos, 1 Te Deum, 3 hymns, 1 motet = 23",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1495,0,"Copied in Rome, possibly for use at Church of Santa Maria Maggiore.",1
2108,VatC 234,10052,Chigi C.VIII.234,7003,6016,8355,"19 Masses, 1 Requiem Mass, 1 Credo, 19 motets (1 without text) = 40",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=943,0,"Main corpus copied in Brussels/Mechlin; belongs to Netherlands court complex (KellC). Originally prepared for the courtier Philippe Bouton (1418-1515)(KellCF). Manuscript subsequently taken to Spain, probably by the latter´s son, Claude, or by a Spanish nobleman; later additions copied in Spain. Apparently owned in Spain by Folch de Cardona and Fernandez de Cordova families (coats of arms). Later owned by Fabio Chigi (1599-1667), elected Pope Alexander VII in 1655.",1
2109,SubA 248,10054,248,7005,6016,,7 Masses (5 incomplete),http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1027,0,"Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ). (collateral with JenaU 21, VienNB 4809, VienNB 4810, VienNB 11778)",1
2110,TrentC 91,10056,1378 (91),7004,6104,8338,"13 Masses, 8 Kyries, 4 Glorias, 1 Gloria trope, 3 Credos, 4 Sanctus, 42 Mass Proper sections, 5 Magnificats, 1 Te Deum, 21 office hymns, 1 processional hymn, 43 motets, 1 set of responses, 6 Benedicamus dominos, 1 Latin/German sacred piece, 2 French secular pieces (1 without text), 1 Italian secular piece, 1 textless piece = 158",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=811,0,"Copied in Trent. Transferred to Vienna in 1891, but returned to Trent following World War I.",1
2111,TrentC 88,10056,1375 (88),7004,6104,8337,"20 Masses, 2 Kyrie-Agnus pairs, 1 Gloria-Credo pair, 7 Kyries, 4 Glorias, 3 Sanctus, 2 Agnus, 98 Mass Proper sections (=16 cycles ordered by liturgical calendar + 10 sections not included in any cycle), 16 Magnificats, 1 Te Deum, 22 office hymns, 1 processional hymn, 32 motets, 1 Latin/ German sacred piece, 1 German sacred piece, 3 French secular pieces (1 with additional Latin motet text), 1 English? secular piece (""Agwillare habeth standiff"") = 215 + 4 duplicates (including some pieces with same music but different texts) = 219",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=808,0,"Copied in Trent. Transferred to Vienna in 1891, but returned to Trent following World War I.",1
2112,VerBC 757,10058,MS DCCLVII,7004,6107,8359,"3 Mass Ordinary sections (without text), 5 motets (without text), 31 French secular pieces (28 without text*), 4 Italian secular pieces (all without text**), 1 Spanish secular piece (without text), 21 textless pieces (1 incomplete; many of these are probably unidentified French secular pieces or Latin motets) = 65",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=971,0,Copied in Verona (KanTV).,1
2113,VerBC 756,10058,MS DCCLVI,7005,6016,8366,"10 Masses, 1 Sanctus-Agnus pair = 11",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=970,0,Copied in Brussels/Mechlin; belongs to Netherlands court complex. Purchased in Rome by Franciscus Blandinus in 1715 (inscription on f. 1) (collateral with FlorC 2439),1
2114,VerBC 755,10058,MS DCCLV,7003,6064,8341,"11 Masses, 1 Kyrie-Gloria pair (incomplete), 1 Kyrie (incomplete), 1 Mass Proper section, 3 motets = 17",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=969,0,Part I copied in Naples (RothS); Part II copied in Verona.,1
2115,VerBC 761,10058,MS DCCLXI,7003,6107,8410,"17 Masses, 4 Credos, 1 Te Deum = 22",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=975,0,"Probably copied in Verona (KanTV), but close repertorial associations with several Roman sources (PrestV, ReynoldsM).",1
2116,LeidGA 1443,10060,1443,7003,6004,8417,"21 Masses (several incomplete), 3 Kyries (1 fragmentary), 1 psalm, 3 hymns, 7 motets, 1 set of responses = 36",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1863,0,"Main corpus probably copied in Amsterdam; used by St. Peter´s Church in Leiden, where additions were made. &nbsp;https://www.erfgoedleiden.nl/collecties/archieven/archievenoverzicht/ead/index/eadid/0502",1
2117,UppsU 76c,10064,76c,7004,6030,8389,"7 Masses, 2 Kyries, 1 Agnus, 2 Mass Ordinary sections, 1 Te Deum, 22 motets, 34 French secular pieces, 8 textless pieces = 77*\n*Above summary excludes later additions in lute tablature on ff. 10v, 36v, 58v-60, 100v-113, 114v-115, 129v-132v, 135-136, 139v-142v, 144, 148v-149v, 150v-151, and 152v-157v.",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2613,0,"Ca. 1530? (BernNO), with lute tablature additions in second half of 16th century. Copied in France (BernNO).",1
2118,UppsU 76b,10064,76b,7004,6031,8374,"9 Masses, 1 Sanctus-Agnus pair, 8 motets, 13 French secular pieces, 2 textless pieces = 33*  *Above summary excludes later additions in lute tablature on ff. 3, 13v-14v, 50, 60v-61, 62, 86v-87, 108v-112, 128v-129, 142v-162v.",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2612,0,"Ca. 1515? (BernNO), with lute tablature additions in second half of 16th century. Of French origin (BernNO); possibly copied in Troyes or vicinity. Early (original?) owner was Thomas Gillesson, a priest of Troyes diocese (inscription on f. 2).",1
2119,UppsU 76e,10064,76e,7005,6032,8214,13 Messen,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2614,0,First half of 16th century. Of east German origin (StaeO); perhaps copied in Frauenburg. Taken from Frauenburg to Uppsala during Thirty Years War in 17th century.,1
2120,PozU 7022,10062,7022,7003,6053,8415,"5 Masses, 4 motets, 2 textless pieces = 11 (all fragmentary)",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1070,0,Perhaps copied in Lwów. Owned in 20th century by the musicologist Adolf Chybiński (1880-1952); deposited in present library following Chybiński´s death.,1
2121,WarU 2016,10063,2016 (olim Mus. 58),7004,6085,8358,"6 Masses (1 incomplete), 1 troped Kyrie, 1 Agnus (without text), 2 Mass Proper sections (1 fragmentary), 6 Magnificats, 16 office hymns (3 without text; some have additional Latin or Czech text in some voices), 3 processional hymns (1 with additional German and Latin text in some voices), 3 Lamentations, 45 motets (1 fragmentary), 1 motet-chanson (without text), 2 Latin secular pieces, 1 German secular piece, 1 French secular piece (without text), 1 Italian secular piece (without text), 6 textless pieces (2 fragmentary) = 95 + 3 complete or partial duplicates = 98",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2054,0,"Copied in Silesia or Bohemia (FeldC). Acquired by Musikalisches Institut bei der Universität Breslau (now Wroclaw), probably from Silesian monastery secularized in early 19th century (FeldZ). Later transferred to present location.",1
2122,UlmS 237,10026,237,7004,6059,8390,"1 Agnus, 3 Mass Ordinary sections, 2 hymns, 52 motets, 25 French secular pieces (2 without text), 17 Dutch secular pieces, 3 German secular pieces, 3 Italian secular pieces, 1 Latin secular piece, 2 textless pieces = 109",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2603,0,"Of central German origin. Early (original?) owner may have been Hainrichus Lobereich, named on first folio of D book. Partbooks given to Marco Albano Lucio (or Rucio) by Albertus Calerus Troianus of Schweinfurt in 1551 (inscriptions at beginning of each partbook; see also StaeMI I, 73). Owned in late 16th and first half of 17th century by Egenolf and Anton von Schermar of Ulm; von Schermar collection later deposited in Münster Bibliothek, Ulm.",1
2123,LucAS 238,10043,MS 238,7003,6042,8340,"17 Masses, 2 Magnificats, 9 motets = 28 (fragmentary and in-complete)\nDomarto-1, (Dufay)-1 + 1?, Frye-1, (Heyns)-1, (Isaac)-1, (Martini)-1, (Plummer)-1, J.? Stone-1, Tik-1, anon-18",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=196,0,"For complete description and detailed inventory, see Strohm, Reinhard: The Lucca Choirbook … edited and with an introduction and inventory, Late Medieval and Early Renaissance Music in Facsimile Vol. II (Chicago: University of Chicago Press, 2008",1
2124,ModE M.1.13,10048,alpha M.1.13,7005,6024,8226,"17 Masses, 1 Mass fragment = 18, Caron-1, Domarto-1, Dufay-1 + 1?, Faugues-2, Martini-8, Martini/(Josquin)-1, Vincenet-1, Weerbecke-1, anon-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=966,0,"Copied in Ferrara, for use at the ducal court of Ercole I d´Este (reigned 1471-1505). Este family library transferred from Ferrara to Modena in 1598; joined to Modena university library in 1892.",1
2125,EdinNL 5.1.15,10036,MS ADV. 5.1.15,7003,6086,8362,"9 Masses, 1 Agnus, 6 Magnificats, 11 motets, 1 textless fragment = 28",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1757,0,"Probably copied at the Chapel Royal of Scotland at Stirling, where Robert Carver may have been employed by King James IV (ElliottCC, who discusses earlier conclusions that Carver copied the manuscript at Scone Augustinian Abbey in Perthshire).",1
2126,ModAS s.s.,10046,MS 221. Frammenti musicali,7005,6024,8225,"1 Credo-Sanctus pair, 1 Agnus = 2 (fragmentary)\n(A. Agricola)-1, (Busnois)-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=249,0,"Copied in Ferrara, for use at the ducal court of Ercole I d´Este (reigned 1471-1505). Transferred to Modena at end of 16th century; now part of collection of documents relating to Este family. 3 parchment folios, originally ca. 550 x 338 (bottom corners mutilated), apparently the only surviving remnants of a large choirbook of Masses, probably prepared as companion manuscript to ModE M.1.13. No foliation; original numbering of Masses. (Fragments in ModAS s.s. are from Masses XII and XIIII). No covers; fragments preserved in envelope labelled ""Frammenti di codici musicali,"" along with other musical fragments not within scope of this catalogue. Mass fragments copied by a single scribe, identified in Ferrara court payment records as ""il fra de san Domenego"" (LockF). Initials and border decoration similar to ModE M. 1.13.",1
2127,FlorBN BR 229,10042,MS Banco Rari 229 [olim: Magl. XIX. 59],7004,6026,8231,"&nbsp;motets, 163 French secular pieces, 1 French/Latin secular piece (with Latin incipit only in this manuscript), 15 Italian secular pieces, 1 Flemish secular piece (many of the preceding have text incipits or titles only), 86 textless pieces = 268 (Of the textless pieces, the following have been identified from concordant sources: 5 Mass Ordinary sections, 3 motets, 20 French secular pieces, 4 Flemish secular pieces, 3 Italian secular pieces, 1 German secular piece = 36)",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1410,0,Copied in Florence; once owned by the Braccesi family of Florence (coat of arms on f. iv´).,1
2129,TrentC 89,10056,1376 (89),7004,6104,8338,"1 plenary Mass, 19 Masses, 2 Kyrie-Gloria pairs, 1 Gloria-Credo pair, 9 Kyries, 2 Glorias, 1 Credo, 6 Sanctus, 1 Agnus fragment, 22 Mass Proper sections, 13 Magnificats, 1 Magnificat section, 26 office hymns, 2 processional hymns, 61 motets, 1 Latin/German sacred piece, 9 French secular pieces (8 without text), 3 German secular pieces, 2 Italian secular pieces (1 without text), 1 Latin secular piece, 9 textless pieces, 1 textless fragment = 193",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=809,0,"Copied in Trent. Transferred to Vienna in 1891, but returned to Trent following World War I.",1
2130,AntP M18.13/1,10003,MS M 18.13 (fragment 1),7005,6016,,5 Messen,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2074,0,gehört zum Niederländischen Hof-Komplex,1
2131,WashLC M6,10066,"M2.1.M6 Case (""Wolffheim Fragment"")",7011,6045,8359,"secular pieces, 1 textless piece = 15  &nbsp;",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2678,0,"Ca. 1500, with post-1537 additions (StaeFMH). Copied in northern Italy (RifNR); copied in Florence (StaeFMH). See LonBLE 3051 for history of ownership of original manuscript until acquisition by the French composer and scholar Adrien Lenoir de La Fage (1805-62). By time of La Fage´s ownership, some gatherings already lost; remaining folios separated into two sections, sold to different buyers after La Fage´s death. First portion (ff. 1-61) became LonBLE 3051 (see entry in Vol. II). Portion comprising present WashLC M6 acquired by Aristide Farrenc; passed to Jean-Baptiste Weckerlin (1821-1910) in 1866, then to Werner Wolffheim (1877-1930) in 1910. Purchased by Library of Congress at Berlin auction of Wolffheim library in 1929.",1
